,Unnamed: 0,coco_url,crop_area,crop_type,obj_id,true_bbox,true_class,pred,pred_bbox,pred_class
0,0,http://images.cocodataset.org/val2017/000000462614.jpg,"[70, 172, 224, 224]",centr,1704075.0,"[57, 68, 109, 87]",64.0,94.38990950584412,"[61, 81, 97, 70]",pottedplant
1,1,http://images.cocodataset.org/val2017/000000462614.jpg,"[127, 240, 224, 224]",top_L,1704075.0,"[0, 0, 109, 87]",64.0,,,
2,2,http://images.cocodataset.org/val2017/000000462614.jpg,"[12, 240, 224, 224]",top_R,1704075.0,"[115, 0, 109, 87]",64.0,,,
3,3,http://images.cocodataset.org/val2017/000000462614.jpg,"[127, 103, 224, 224]",bot_L,1704075.0,"[0, 137, 109, 87]",64.0,97.0518410205841,"[2, 148, 103, 73]",pottedplant
4,4,http://images.cocodataset.org/val2017/000000462614.jpg,"[12, 103, 224, 224]",bot_R,1704075.0,"[115, 137, 109, 87]",64.0,95.94894647598267,"[115, 147, 104, 73]",pottedplant
5,5,http://images.cocodataset.org/val2017/000000491216.jpg,"[114, 96, 224, 224]",centr,1704075.0,"[93, 75, 39, 74]",64.0,76.12937688827515,"[92, 69, 35, 81]",pottedplant
6,6,http://images.cocodataset.org/val2017/000000491216.jpg,"[207, 171, 224, 224]",top_L,1704075.0,"[0, 0, 39, 74]",64.0,61.82184815406799,"[1, 0, 36, 73]",pottedplant
7,7,http://images.cocodataset.org/val2017/000000491216.jpg,"[22, 171, 224, 224]",top_R,1704075.0,"[185, 0, 39, 74]",64.0,,,
8,8,http://images.cocodataset.org/val2017/000000491216.jpg,"[207, 21, 224, 224]",bot_L,1704075.0,"[0, 150, 39, 74]",64.0,70.03153562545776,"[0, 148, 38, 75]",pottedplant
9,9,http://images.cocodataset.org/val2017/000000491216.jpg,"[22, 21, 224, 224]",bot_R,1704075.0,"[185, 150, 39, 74]",64.0,,,
10,10,http://images.cocodataset.org/val2017/000000491216.jpg,"[144, 109, 224, 224]",centr,1704075.0,"[92, 89, 39, 46]",64.0,,,
11,11,http://images.cocodataset.org/val2017/000000491216.jpg,"[236, 198, 224, 224]",top_L,1704075.0,"[0, 0, 39, 46]",64.0,,,
12,12,http://images.cocodataset.org/val2017/000000491216.jpg,"[51, 198, 224, 224]",top_R,1704075.0,"[185, 0, 39, 46]",64.0,92.82361268997192,"[187, 1, 28, 44]",pottedplant
13,13,http://images.cocodataset.org/val2017/000000491216.jpg,"[236, 20, 224, 224]",bot_L,1704075.0,"[0, 178, 39, 46]",64.0,,,
14,14,http://images.cocodataset.org/val2017/000000491216.jpg,"[51, 20, 224, 224]",bot_R,1704075.0,"[185, 178, 39, 46]",64.0,,,
15,15,http://images.cocodataset.org/val2017/000000440475.jpg,"[200, 92, 224, 224]",centr,1704075.0,"[63, 81, 99, 61]",72.0,97.6336121559143,"[64, 82, 95, 58]",tv
16,16,http://images.cocodataset.org/val2017/000000440475.jpg,"[263, 173, 224, 224]",top_L,1704075.0,"[0, 0, 99, 61]",72.0,97.00168371200562,"[4, 3, 89, 54]",tv
17,17,http://images.cocodataset.org/val2017/000000440475.jpg,"[138, 173, 224, 224]",top_R,1704075.0,"[125, 0, 99, 61]",72.0,79.59545254707336,"[128, 2, 90, 55]",tv
18,18,http://images.cocodataset.org/val2017/000000440475.jpg,"[263, 10, 224, 224]",bot_L,1704075.0,"[0, 163, 99, 61]",72.0,82.5888454914093,"[1, 164, 95, 56]",tv
19,19,http://images.cocodataset.org/val2017/000000440475.jpg,"[138, 10, 224, 224]",bot_R,1704075.0,"[125, 163, 99, 61]",72.0,91.17880463600159,"[122, 165, 95, 53]",tv
20,20,http://images.cocodataset.org/val2017/000000017178.jpg,"[292, 109, 224, 224]",centr,1704075.0,"[83, 65, 58, 94]",19.0,99.22182559967041,"[75, 61, 67, 93]",horse
21,21,http://images.cocodataset.org/val2017/000000017178.jpg,"[375, 174, 224, 224]",top_L,1704075.0,"[0, 0, 58, 94]",19.0,85.33930778503418,"[2, 3, 55, 82]",horse
22,22,http://images.cocodataset.org/val2017/000000017178.jpg,"[209, 174, 224, 224]",top_R,1704075.0,"[166, 0, 58, 94]",19.0,94.40304636955261,"[148, 1, 72, 88]",horse
23,23,http://images.cocodataset.org/val2017/000000017178.jpg,"[375, 44, 224, 224]",bot_L,1704075.0,"[0, 130, 58, 94]",19.0,98.68387579917908,"[-1, 118, 60, 100]",horse
24,24,http://images.cocodataset.org/val2017/000000017178.jpg,"[209, 44, 224, 224]",bot_R,1704075.0,"[166, 130, 58, 94]",19.0,88.66329789161682,"[147, 119, 73, 100]",horse
25,25,http://images.cocodataset.org/val2017/000000017178.jpg,"[240, 99, 224, 224]",centr,1704075.0,"[88, 62, 49, 100]",19.0,98.68499040603638,"[90, 61, 49, 103]",horse
26,26,http://images.cocodataset.org/val2017/000000017178.jpg,"[328, 161, 224, 224]",top_L,1704075.0,"[0, 0, 49, 100]",19.0,98.62198829650879,"[2, 4, 50, 92]",horse
27,27,http://images.cocodataset.org/val2017/000000017178.jpg,"[153, 161, 224, 224]",top_R,1704075.0,"[175, 0, 49, 100]",19.0,98.04577231407166,"[176, 1, 49, 104]",horse
28,28,http://images.cocodataset.org/val2017/000000017178.jpg,"[328, 37, 224, 224]",bot_L,1704075.0,"[0, 124, 49, 100]",19.0,98.07679653167725,"[2, 126, 50, 95]",horse
29,29,http://images.cocodataset.org/val2017/000000017178.jpg,"[153, 37, 224, 224]",bot_R,1704075.0,"[175, 124, 49, 100]",19.0,98.83095622062683,"[176, 127, 47, 95]",horse
30,30,http://images.cocodataset.org/val2017/000000017178.jpg,"[173, 106, 224, 224]",centr,1704075.0,"[83, 95, 58, 33]",19.0,98.52644205093384,"[84, 93, 54, 36]",horse
31,31,http://images.cocodataset.org/val2017/000000017178.jpg,"[256, 201, 224, 224]",top_L,1704075.0,"[0, 0, 58, 33]",19.0,73.9605188369751,"[3, 0, 54, 36]",horse
32,32,http://images.cocodataset.org/val2017/000000017178.jpg,"[90, 201, 224, 224]",top_R,1704075.0,"[166, 0, 58, 33]",19.0,91.72749519348145,"[167, 1, 56, 34]",horse
33,33,http://images.cocodataset.org/val2017/000000017178.jpg,"[256, 10, 224, 224]",bot_L,1704075.0,"[0, 191, 58, 33]",19.0,94.32806372642517,"[2, 188, 53, 34]",horse
34,34,http://images.cocodataset.org/val2017/000000017178.jpg,"[90, 10, 224, 224]",bot_R,1704075.0,"[166, 191, 58, 33]",19.0,93.11044812202454,"[166, 188, 53, 34]",horse
35,35,http://images.cocodataset.org/val2017/000000338304.jpg,"[94, 353, 224, 224]",centr,1704075.0,"[75, 60, 75, 104]",20.0,,,
36,36,http://images.cocodataset.org/val2017/000000338304.jpg,"[169, 413, 224, 224]",top_L,1704075.0,"[0, 0, 75, 104]",20.0,,,
37,37,http://images.cocodataset.org/val2017/000000338304.jpg,"[20, 413, 224, 224]",top_R,1704075.0,"[149, 0, 75, 104]",20.0,,,
38,38,http://images.cocodataset.org/val2017/000000338304.jpg,"[169, 293, 224, 224]",bot_L,1704075.0,"[0, 120, 75, 104]",20.0,,,
39,39,http://images.cocodataset.org/val2017/000000338304.jpg,"[20, 293, 224, 224]",bot_R,1704075.0,"[149, 120, 75, 104]",20.0,,,
40,40,http://images.cocodataset.org/val2017/000000182611.jpg,"[134, 160, 224, 224]",centr,1704075.0,"[102, 90, 19, 43]",44.0,,,
