,coco_url,crop_area,crop_type,obj_id,true_bbox,true_class
0,http://images.cocodataset.org/val2017/000000462614.jpg,"[70, 172, 224, 224]",centr,20490.0,"[57, 68, 109, 87]",64.0
1,http://images.cocodataset.org/val2017/000000462614.jpg,"[127, 240, 224, 224]",top_L,20490.0,"[0, 0, 109, 87]",64.0
2,http://images.cocodataset.org/val2017/000000462614.jpg,"[12, 240, 224, 224]",top_R,20490.0,"[115, 0, 109, 87]",64.0
3,http://images.cocodataset.org/val2017/000000462614.jpg,"[127, 103, 224, 224]",bot_L,20490.0,"[0, 137, 109, 87]",64.0
4,http://images.cocodataset.org/val2017/000000462614.jpg,"[12, 103, 224, 224]",bot_R,20490.0,"[115, 137, 109, 87]",64.0
5,http://images.cocodataset.org/val2017/000000491216.jpg,"[114, 96, 224, 224]",centr,26288.0,"[93, 75, 39, 74]",64.0
6,http://images.cocodataset.org/val2017/000000491216.jpg,"[207, 171, 224, 224]",top_L,26288.0,"[0, 0, 39, 74]",64.0
7,http://images.cocodataset.org/val2017/000000491216.jpg,"[22, 171, 224, 224]",top_R,26288.0,"[185, 0, 39, 74]",64.0
8,http://images.cocodataset.org/val2017/000000491216.jpg,"[207, 21, 224, 224]",bot_L,26288.0,"[0, 150, 39, 74]",64.0
9,http://images.cocodataset.org/val2017/000000491216.jpg,"[22, 21, 224, 224]",bot_R,26288.0,"[185, 150, 39, 74]",64.0
10,http://images.cocodataset.org/val2017/000000491216.jpg,"[144, 109, 224, 224]",centr,27879.0,"[92, 89, 39, 46]",64.0
11,http://images.cocodataset.org/val2017/000000491216.jpg,"[236, 198, 224, 224]",top_L,27879.0,"[0, 0, 39, 46]",64.0
12,http://images.cocodataset.org/val2017/000000491216.jpg,"[51, 198, 224, 224]",top_R,27879.0,"[185, 0, 39, 46]",64.0
13,http://images.cocodataset.org/val2017/000000491216.jpg,"[236, 20, 224, 224]",bot_L,27879.0,"[0, 178, 39, 46]",64.0
14,http://images.cocodataset.org/val2017/000000491216.jpg,"[51, 20, 224, 224]",bot_R,27879.0,"[185, 178, 39, 46]",64.0
15,http://images.cocodataset.org/val2017/000000440475.jpg,"[200, 92, 224, 224]",centr,33192.0,"[63, 81, 99, 61]",72.0
16,http://images.cocodataset.org/val2017/000000440475.jpg,"[263, 173, 224, 224]",top_L,33192.0,"[0, 0, 99, 61]",72.0
17,http://images.cocodataset.org/val2017/000000440475.jpg,"[138, 173, 224, 224]",top_R,33192.0,"[125, 0, 99, 61]",72.0
18,http://images.cocodataset.org/val2017/000000440475.jpg,"[263, 10, 224, 224]",bot_L,33192.0,"[0, 163, 99, 61]",72.0
19,http://images.cocodataset.org/val2017/000000440475.jpg,"[138, 10, 224, 224]",bot_R,33192.0,"[125, 163, 99, 61]",72.0
20,http://images.cocodataset.org/val2017/000000017178.jpg,"[292, 109, 224, 224]",centr,54220.0,"[83, 65, 58, 94]",19.0
21,http://images.cocodataset.org/val2017/000000017178.jpg,"[375, 174, 224, 224]",top_L,54220.0,"[0, 0, 58, 94]",19.0
22,http://images.cocodataset.org/val2017/000000017178.jpg,"[209, 174, 224, 224]",top_R,54220.0,"[166, 0, 58, 94]",19.0
23,http://images.cocodataset.org/val2017/000000017178.jpg,"[375, 44, 224, 224]",bot_L,54220.0,"[0, 130, 58, 94]",19.0
24,http://images.cocodataset.org/val2017/000000017178.jpg,"[209, 44, 224, 224]",bot_R,54220.0,"[166, 130, 58, 94]",19.0
25,http://images.cocodataset.org/val2017/000000017178.jpg,"[240, 99, 224, 224]",centr,57131.0,"[88, 62, 49, 100]",19.0
26,http://images.cocodataset.org/val2017/000000017178.jpg,"[328, 161, 224, 224]",top_L,57131.0,"[0, 0, 49, 100]",19.0
27,http://images.cocodataset.org/val2017/000000017178.jpg,"[153, 161, 224, 224]",top_R,57131.0,"[175, 0, 49, 100]",19.0
28,http://images.cocodataset.org/val2017/000000017178.jpg,"[328, 37, 224, 224]",bot_L,57131.0,"[0, 124, 49, 100]",19.0
29,http://images.cocodataset.org/val2017/000000017178.jpg,"[153, 37, 224, 224]",bot_R,57131.0,"[175, 124, 49, 100]",19.0
30,http://images.cocodataset.org/val2017/000000017178.jpg,"[173, 106, 224, 224]",centr,58138.0,"[83, 95, 58, 33]",19.0
31,http://images.cocodataset.org/val2017/000000017178.jpg,"[256, 201, 224, 224]",top_L,58138.0,"[0, 0, 58, 33]",19.0
32,http://images.cocodataset.org/val2017/000000017178.jpg,"[90, 201, 224, 224]",top_R,58138.0,"[166, 0, 58, 33]",19.0
33,http://images.cocodataset.org/val2017/000000017178.jpg,"[256, 10, 224, 224]",bot_L,58138.0,"[0, 191, 58, 33]",19.0
34,http://images.cocodataset.org/val2017/000000017178.jpg,"[90, 10, 224, 224]",bot_R,58138.0,"[166, 191, 58, 33]",19.0
35,http://images.cocodataset.org/val2017/000000338304.jpg,"[94, 353, 224, 224]",centr,61543.0,"[75, 60, 75, 104]",20.0
36,http://images.cocodataset.org/val2017/000000338304.jpg,"[169, 413, 224, 224]",top_L,61543.0,"[0, 0, 75, 104]",20.0
37,http://images.cocodataset.org/val2017/000000338304.jpg,"[20, 413, 224, 224]",top_R,61543.0,"[149, 0, 75, 104]",20.0
38,http://images.cocodataset.org/val2017/000000338304.jpg,"[169, 293, 224, 224]",bot_L,61543.0,"[0, 120, 75, 104]",20.0
39,http://images.cocodataset.org/val2017/000000338304.jpg,"[20, 293, 224, 224]",bot_R,61543.0,"[149, 120, 75, 104]",20.0
40,http://images.cocodataset.org/val2017/000000182611.jpg,"[134, 160, 224, 224]",centr,80188.0,"[102, 90, 19, 43]",44.0
41,http://images.cocodataset.org/val2017/000000182611.jpg,"[236, 250, 224, 224]",top_L,80188.0,"[0, 0, 19, 43]",44.0
42,http://images.cocodataset.org/val2017/000000182611.jpg,"[31, 250, 224, 224]",top_R,80188.0,"[205, 0, 19, 43]",44.0
43,http://images.cocodataset.org/val2017/000000182611.jpg,"[236, 69, 224, 224]",bot_L,80188.0,"[0, 181, 19, 43]",44.0
44,http://images.cocodataset.org/val2017/000000182611.jpg,"[31, 69, 224, 224]",bot_R,80188.0,"[205, 181, 19, 43]",44.0
45,http://images.cocodataset.org/val2017/000000425226.jpg,"[141, 268, 224, 224]",centr,80610.0,"[90, 98, 44, 27]",44.0
46,http://images.cocodataset.org/val2017/000000425226.jpg,"[231, 366, 224, 224]",top_L,80610.0,"[0, 0, 44, 27]",44.0
